Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
-0.12916143993691231,-0.043425400959937965,0.8432305728636456,0.7140691329267332,291402,0.5136206708218048,0.5570460717817428,4,3,4,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
0.12161648553486037,0.19018630021580402,0.8522515711316289,0.9738680566664892,291402,0.3469591205354608,0.15677282031965678,4,3,4,S1,W29U_4C6ED1EB798517953D0DC778
-0.02153102257330808,-0.11529680165686462,0.9843716836392516,0.9628406610659436,291402,0.21152113116768162,0.32681793282454624,3,3,4,S1,W29U_75132999B0C6E0EEE43BA989
0.06707103257579927,0.11913014449749679,0.916951407440741,0.9840224400165403,291402,0.2716107951646078,0.152480650667111,4,3,4,S1,W29U_F6CAD417553B07D618F9E108
0.38788727356728925,0.3741211455331079,0.5525750507506116,0.9404623243179009,291402,0.701755239867466,0.32763409433435814,4,3,4,S1,W29U_E5D1686A18607C9EE6DB4092
0.22527148907110472,0.3404494261581217,0.6908029840033691,0.9160744730744739,291402,0.6645073824333786,0.3240579562752569,3,3,3,S1,W29U_93A1C9E34685B6807135F4C8
-0.029094743165013703,-0.11748683681742422,0.9819864625476434,0.9528917193826297,291402,0.25755084686058716,0.3750376836780114,3,3,4,S1,W29U_F2575FC5D972AB054D7C658A
0.5069006738596309,0.6055842786884819,0.44959979668259936,0.9565004705422302,291402,0.8358981376458219,0.23031385895734002,4,3,4,S1,W29U_0400BA4294543C5E4BC160A2
0.10242120864588389,0.20010328971986924,0.8866020688298807,0.9890232774757646,291402,0.2986179679199165,0.09851467820004729,4,3,4,S1,W29U_7A5126EDF2108BF759D41021
-0.030912675150317814,-0.09900951676617631,0.9808805730419077,0.9499678978915899,291402,0.21745740168706845,0.31646691845324476,3,3,4,S1,W29U_4542EF183B2513200195497A
0.04003329105939768,0.22364828742890208,0.9520060500223572,0.9920393410817548,291402,0.3326875832839919,0.10903929585508983,3,3,3,S1,W29U_1286685795C121BE6FFD658C
0.018384834638941916,0.04278197750386567,0.9764741666711577,0.9948590013100996,291402,0.1312165120171877,0.08843453451332203,4,3,4,S1,W29U_1EDF61048BA683FEF104C62A
-0.2671488567978474,-0.1561834970682393,0.9458213951226647,0.6786725383248173,291402,0.44812985071679534,0.6043133477850346,3,3,4,S1,W29U_D215F181D8F005BABBB41D37
0.3421193068455204,0.23369232220393643,0.5086286310415127,0.8507479378870331,291402,0.7576261509851271,0.5239338287811907,4,3,3,S1,W29U_339AD37DFA36D01C73FDFF3C
0.07151679457021842,0.2485055835869651,0.9153978769991857,0.9869146715694042,291402,0.42182530533347773,0.17331972174651264,3,4,3,S1,W29U_6E065B84AB4956262BB4BD6F
0.2289962988065296,0.30515426077604463,0.7007254744289744,0.929721773235504,291402,0.6019605436897836,0.29680628291373895,4,3,4,S1,W29U_927D329B3C584BE046A0AFEA
0.17291225293189394,0.2950753581235148,0.7478077001801308,0.9207199531120247,291402,0.5763546456446479,0.28127928752113307,4,3,4,S1,W29U_B497E36FB07F5FA1D12D6681
0.29256824213570787,0.07275759419624905,0.5359392862350932,0.8285075283708011,291402,0.8398436867349818,0.7670860925387327,4,3,3,S1,W29U_C262155F67E1F514B8FA68C7
0.1682122563993439,0.12168600636232407,0.5493453860335585,0.7175576424329024,291402,0.8377190628529213,0.7160330564905972,4,3,3,S1,W29U_C9C26419E0818E40CBA4D6F3
0.42245213407832727,0.41235120485175275,0.5426090340000332,0.9650611680783605,291402,0.7336608258013477,0.321309620949595,4,3,4,S1,W29U_C37CB46A6C677AD0D2838FA4
0.1304175004811654,0.0687379476967378,0.5521636171436733,0.6825811176248388,291402,0.789658935190997,0.7209209874942591,4,3,3,S1,W29U_03C728A071DA819C6F3B21E4
0.27297343136492436,0.19338955625363197,0.5741357007273484,0.8471091320922728,291402,0.7707736142158078,0.5773840579621758,4,3,3,S1,W29U_C93146E96852E40F0233C116
-0.21664702130991675,-0.07548445281363148,0.9377176517743419,0.7210706304644251,291402,0.522281176024214,0.5977656288378455,3,3,4,S1,W29U_3F4110C5508739D0A0562757
0.03956270843557452,0.1783239129561091,0.949742227203156,0.9893049356387306,291402,0.2978672043426154,0.11954329138650627,3,3,3,S1,W29U_5225D08BCA1DB372E74B864E
0.11500189017198803,0.08275792123743586,0.5725681268579026,0.6875700170298906,291402,0.7539233356050651,0.6711654143676292,4,3,3,S1,W29U_3B1DE5598F0CCCE7F61AFBE1
-0.1294801308582617,-0.0836250309646474,0.9452601866851832,0.8157800558269215,291402,0.25991023094348836,0.34353526190813577,3,3,3,S1,W29U_E8621BBB9863314435A966E1
0.10659353589692377,0.06308779373657492,0.5768248345346724,0.6834183704315961,291402,0.7408971468529375,0.6778093531163626,4,3,3,S1,W29U_0BDB0E4B75075FE966B69FDA
0.13746440909790303,0.09640979519569304,0.5571634960211567,0.6946279051190597,291402,0.7838895014543126,0.6874797062586195,4,3,4,S1,W29U_099BE3736653346E3715B34A
-0.005626657129516266,-0.10978613926432396,0.9770630580048246,0.9714364008753084,291402,0.19692190077241578,0.30670804003673974,3,3,3,S1,W29U_32F562E65836D385C8CB4933
0.05158410329763852,0.16817256251436877,0.9302562100606987,0.9818403133583372,291402,0.32421883136827767,0.1560462688539089,3,3,3,S1,W29U_BFAD2644EFC4F67B5A47D53E
0.044119002043521593,0.2688957689788542,0.950703201054194,0.9948222030977156,291402,0.3555813853244164,0.08668561634556221,3,3,3,S1,W29U_06C75BD11D18D5EDD00EABD8
0.08609125814427976,0.08690356655809461,0.8532997420806071,0.9393910002248869,291402,1.1025985579380886,1.015694991379994,4,3,3,S2,W29U_326073E5F43273FC845408A0
0.03922251320969539,0.6407669519338387,0.9536753226749513,0.9928978358846466,291402,0.7944631404303639,0.1536961884965252,4,3,4,S2,W29U_76811E4D88E5C2FA3ACD9DD3
0.06015361970195521,0.09802294900914199,0.9025302055567903,0.9626838252587455,291402,1.107069552395433,1.009046603386291,3,3,3,S2,W29U_7091BA5B54BA708C00866B17
0.20267594123630495,-0.019353655512622137,0.7501285520596999,0.9528044932960048,291402,1.2120404521977546,1.2313941077103767,2,3,2,S2,W29U_F7AB4F136A77970A34D1A43F
0.3234898484236278,0.8308610834128681,0.6642817570094178,0.9877716054330457,291402,0.9556497102641993,0.12478862685133119,4,3,4,S2,W29U_8E712C01124CEB485ECD2748
0.02638770009752167,0.6480659428591291,0.9688984830034169,0.9952861831009385,291402,1.4132609619510064,0.7651950190918773,4,2,2,S2,W29U_FA9D93D425F5C70A742F5E9C
0.47463175898568344,1.1656460998951605,0.48360534847625614,0.9582371074619396,291402,1.4355379298048718,0.26989182990971133,1,3,1,S2,W29U_A95DCDBC237EC90DA99443C6
0.01914716028015273,-0.059509546049984485,0.9636802014422038,0.9828273617223565,291402,0.7485146735566035,0.808024219606588,3,3,3,S2,W29U_75056D080DB9B6E897E24389
0.0495470185717507,0.7061493021578219,0.9457075158899547,0.9952545344617054,291402,0.795777369701655,0.08962806754383308,4,3,4,S2,W29U_5D3E6C4B86EA4699F1BA5BC9
0.12278690962915151,1.3751927479760342,0.8716350204655369,0.9944219300946884,291402,1.4622436642802097,0.08705091630417543,4,2,4,S2,W29U_F0BEB3AB1E28EE7E91693942
0.022289437324405026,0.770394233498175,0.9698643624334067,0.9921537997578117,291402,1.0044515996606238,0.23405736616244882,3,3,3,S2,W29U_5D7544863F07E544752F14A3
0.3496787600054452,1.0442967915124324,0.6356510548573722,0.9853298148628173,291402,1.1654800166119206,0.12118322509948823,3,3,3,S2,W29U_894380770DDE02AAD0312DF3
